species,gtdb_id,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Xenorhabdus budapestensis,GCF_002632465.1,"Xenorhabdus budapestensis Bic is a facultative anaerobe, mesophilic, Gram-negative animal pathogen that was isolated from nematode Steinernema bicornutum.",negative,rod-shaped,,+,+,+,-,+,+,-,-,-,+,+,-,-,-,+,-,+,-,-,+/-,-,-,-,-,-,-,-,-,-,+/-,+/-,"['+', '+/-']",-,-,-,+/-,-,-,-,-,"['+', '+/-']",-,-,-,-,-,"['-', '+/-']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,+/-,+,,-,-,-,+/-,-,+,-,-,-,+/-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/632/465/GCF_002632465.1_genomic.fna.gz
Brucella pseudogrignonensis,GCF_002252525.1,"Brucella pseudogrignonensis DSM 22354 is a mesophilic, Gram-negative, rod-shaped bacterium that forms circular colonies and was isolated from blood of a 28-year-old man.",negative,rod-shaped,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+/-,,,,+/-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,+,-,-,-,-,+,+,-,-,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/252/525/GCF_002252525.1_genomic.fna.gz
Flavimobilis marinus,GCF_900113055.1,"Flavimobilis marinus 1-19 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from coastal sediment.","['positive', 'positive']","[None, None]","['yes', 'yes']",-,+,+,-,+,+,+,-,+,+,-,-,+,-,+,+,+,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,+,+,-,+,+,+,+,+,+,+,+,-,-,+,+,+/-,-,-,+,+,-,+,+,-,-,-,-,-,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/113/055/GCF_900113055.1_genomic.fna.gz
Aestuariibacter halophilus,GCF_020687825.1,"Aestuariibacter halophilus JC2043 is an obligate aerobe, halophilic, chemoheterotroph bacterium that forms circular colonies and was isolated from sediment sample of getbol.","['negative', 'negative', 'negative']","[None, None, None]","['yes', None, 'yes']",+,+,+,-,+,+,+,+,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/020/687/825/GCF_020687825.1_genomic.fna.gz
Streptomyces avicenniae,GCF_000719135.1,"Streptomyces avicenniae 9-9 is an aerobe, spore-forming, mesophilic bacterium that builds an aerial mycelium and was isolated from soil of mangrove plant Avicennia mariana.",positive,,no,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/719/135/GCF_000719135.1_genomic.fna.gz
Bartonella vinsonii,GCF_902825235.1,"Bartonella vinsonii Baker is a microaerophile, Gram-negative bacterium of the family Bartonellaceae.",negative,rod-shaped,no,-,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+/-,-,-,-,+/-,-,-,-,-,-,+,+,+/-,-,-,-,-,-,-,-,-,+/-,-,+,+,+,+/-,+,-,-,-,+,-,-,-,+/-,+/-,-,-,-,-,-,-,-,-,-,+/-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/902/825/235/GCF_902825235.1_genomic.fna.gz
Rhodococcus pyridinivorans,GCF_900105195.1,"Rhodococcus pyridinivorans DSM 44555 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from industrial wastewater.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,,,-,,,-,,-,-,+,-,-,+,-,-,"['-', '+']",+,,-,-,,,-,,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,,,+,-,-,-,-,-,-,+/-,-,-,-,+/-,-,+,-,-,,,,,,,-,-,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/105/195/GCF_900105195.1_genomic.fna.gz
Rhizobium mayense,GCF_030272705.1,"Rhizobium mayense SJP1-2 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from root nitrogen-fixing nodules of Calliandra grandiflora.","['negative', 'negative']","[None, None]","['no', 'no']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,+,,,+,,,+,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,+,-,,+,-,-,-,+,+,+,-,-,+/-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/030/272/705/GCF_030272705.1_genomic.fna.gz
Butyrivibrio fibrisolvens,GCF_900129945.1,"Butyrivibrio fibrisolvens D1 is an anaerobe, mesophilic bacterium that was isolated from bovine rumen.",,,,+,+,+,-,-,-,-,-,-,+,-,+,+,+,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/129/945/GCF_900129945.1_genomic.fna.gz
Sporichthya polymorpha,GCF_000384115.1,Sporichthya polymorpha DSM 43042 is a mesophilic bacterium that was isolated from greenhouse soil.,,,,-,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/384/115/GCF_000384115.1_genomic.fna.gz
Ornithinimicrobium humiphilum,GCF_006716885.1,"Ornithinimicrobium humiphilum 2115-015 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from garden soil.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,"['+', '-']",-,,-,-,,-,-,-,-,-,-,,,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,,,,-,,,-,-,,,"['+', '-']",-,,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/006/716/885/GCF_006716885.1_genomic.fna.gz
Heyndrickxia sporothermodurans,GCF_016785185.1,"Heyndrickxia sporothermodurans M 215 is an aerobe, spore-forming, mesophilic bacterium that was isolated from UHT-milk.","['positive', 'positive']","[None, None]","['yes', 'no']",+,+,+,-,-,-,-,-,-,+,+,-,-,-,+,-,+,-,-,+/-,-,-,-,+/-,-,-,-,-,-,+,+,-,-,-,-,-,+,+/-,-,-,-,-,+,+,+,+,+,-,-,+,+,-,-,-,+/-,-,-,-,+,-,+,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/016/785/185/GCF_016785185.1_genomic.fna.gz
Riemerella columbina,GCF_000374405.1,"Riemerella columbina x183-89 is a microaerophile, mesophilic, Gram-negative animal pathogen that was isolated from pigeon palatine cleft.",negative,rod-shaped,no,+,-,+,-,+,+,+,-,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,+,-,-,-,-,-,-,-,+,+/-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/374/405/GCF_000374405.1_genomic.fna.gz
Vibrio cortegadensis,GCF_024347395.1,"Vibrio cortegadensis C 16.17 is a mesophilic, Gram-negative bacterium that was isolated from healthy Manila clam .",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,-,,-,-,,,,,-,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,+,,,-,,,,-,,+,-,-,-,-,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/024/347/395/GCF_024347395.1_genomic.fna.gz
Mycobacterium kyogaense,GCF_003254575.1,"Mycobacterium kyogaense CECT 9646 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from mud.",positive,rod-shaped,,+,+/-,+,-,+/-,-,-,-,-,+/-,-,-,-,-,+,-,-,-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,+,+/-,+,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/254/575/GCF_003254575.1_genomic.fna.gz
Qipengyuania citrea,GCF_009828015.1,"Qipengyuania citrea RE35F/1 is a psychrophilic, Gram-negative, oval-shaped bacterium that was isolated from seawater.",negative,oval-shaped,no,+,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/009/828/015/GCF_009828015.1_genomic.fna.gz
Demequina salsinemoris,GCF_000974805.1,"Demequina salsinemoris KV-810 is an aerobe, mesophilic, rod-shaped bacterium that was isolated from mangrove soil.",,rod-shaped,,-,+,+,-,+,+/-,+/-,-,-,-,+/-,+,+,-,+,+,+,-,-,,,,,-,,,,,,+,,,,,,,+/-,,,,,,,+,,,-,-,,-,,,,,,-,,,,,,,,,,,,,+/-,-,-,-,-,+,+,-,+/-,+/-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/974/805/GCF_000974805.1_genomic.fna.gz
Streptomyces xinghaiensis,GCF_000220705.2,"Streptomyces xinghaiensis S187 is an aerobe, spore-forming, mesophilic bacterium that builds an aerial mycelium and was isolated from marine sediment sample.","['positive', 'positive']","[None, None]","['no', None]",+,+,+,-,+,+,-,-,-,+,+,+,+,-,+,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/220/705/GCF_000220705.2_genomic.fna.gz
Streptomyces nodosus,GCF_008704995.1,"Streptomyces nodosus DSM 40109 is a spore-forming, mesophilic bacterium that was isolated from soil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,-,,,,,,,-,,,+,+,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/008/704/995/GCF_008704995.1_genomic.fna.gz
Acidipila rosea,GCF_004339725.1,"Acidipila rosea AP8 is a mesophilic, Gram-negative bacterium that was isolated from acid mine drainage.",,,,+,+,+/-,+/-,+,+,+/-,+,-,+,+,+,+,+,-,+,+,-,+,,,,,,,,,,,,,-,,,,,-,,,,-,,,+,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/339/725/GCF_004339725.1_genomic.fna.gz
Hasllibacter halocynthiae,GCF_003003095.1,"Hasllibacter halocynthiae DSM 29318 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from marine ascidian .",negative,ovoid-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,+,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,+,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/003/095/GCF_003003095.1_genomic.fna.gz
Latilactobacillus curvatus,GCF_004101845.1,"Latilactobacillus curvatus 1 is an anaerobe, mesophilic, rod-shaped bacterium that was isolated from milk.",,rod-shaped,no,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/101/845/GCF_004101845.1_genomic.fna.gz
Mesorhizobium huakuii,GCF_030160235.1,"Mesorhizobium huakuii 103 is a mesophilic, Gram-negative, motile bacterium that was isolated from root nodules of Astragalus sinicus.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,"['-', '+']",-,-,"['-', '+']",-,"['-', '+']","['-', '+']","['-', '+']","['-', '+']",-,"['-', '+']","['-', '+']","['-', '+']","['-', '+']","['-', '+']",-,-,"['-', '+']",-,-,"['+/-', '+']",-,"['-', '+']","['-', '+']","['-', '+']",-,"['-', '+']","['-', '+']",-,-,-,-,-,"['-', '+']","['-', '+']","['-', '+']","['-', '+']",-,-,-,"['-', '+']","['-', '+']",-,-,-,,,,,,,,,,,+,,,,,,,+,-,,,-,-,,,,,,,,,,,,-,+,+,+,+,-,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,+,-,-,-,+,+,-,+,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/030/160/235/GCF_030160235.1_genomic.fna.gz
Paraburkholderia caballeronis,GCF_900104845.1,"Paraburkholderia caballeronis TNe-841 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from rhizosphere of tomato .",negative,rod-shaped,no,-,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,+,,,,,+,,,,+,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,+/-,-,,-,-,-,-,-,+,+,+,-,+,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/104/845/GCF_900104845.1_genomic.fna.gz
Pseudooceanicola nanhaiensis,GCF_000688295.1,"Pseudooceanicola nanhaiensis SS011B1-20 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from sediments at a depth of around 1500 m.","['negative', 'negative']","[None, None]","['no', 'no']",+,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/688/295/GCF_000688295.1_genomic.fna.gz
Chitinimonas viridis,GCF_030409555.1,Chitinimonas viridis DSM 29130 is a mesophilic bacterium that was isolated from mesotrophic artificial lake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,+,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,+,,-,-,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/030/409/555/GCF_030409555.1_genomic.fna.gz
Nocardioides furvisabuli,GCF_021083185.1,"Nocardioides furvisabuli SBS-26 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from beach, black sand.","['positive', 'positive']","[None, None]","['yes', 'no']",+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/021/083/185/GCF_021083185.1_genomic.fna.gz
Chryseobacterium oranimense,GCF_900129755.1,"Chryseobacterium oranimense H8 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from raw cow’s milk.","['negative', 'negative']","[None, None]","['no', 'no']",+,+,+,-,+,+,-,+,+,+,+,-,-,-,+,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/129/755/GCF_900129755.1_genomic.fna.gz
Acetobacter malorum,GCF_001580615.1,"Acetobacter malorum DSM 14337 is an obligate aerobe, mesophilic, Gram-negative bacterium that forms circular colonies and was isolated from rotting apple.","['negative', 'negative']","[None, None]","['no', 'no']",-,+,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,-,,,-,,,-,,-,+,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/580/615/GCF_001580615.1_genomic.fna.gz
Nocardia carnea,GCF_000308515.1,"Nocardia carnea 30 is an aerobe, spore-forming, mesophilic bacterium of the family Nocardiaceae.",positive,rod-shaped,,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,+,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,+,-,-,,,,-,,,-,-,,,-,-,,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/308/515/GCF_000308515.1_genomic.fna.gz
Paraburkholderia phymatum,GCF_000020045.1,"Paraburkholderia phymatum 815 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from root nodule of Machaerium lunatum.",negative,oval-shaped,no,,,,,,,,,,,,,,,,,,,,+,-,,,-,,,+,,+,+,+,+,-,+,-,+,+,+,,-,+,,,-,,-,-,-,-,+,-,,-,-,,,+,-,-,-,-,,,+,+,+,+,-,,,,,,,,,,,+,,,,,,,+,+,,,+,+,,,,,,,,,,,,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,+,+,+,+,+,+,+,-,+,+,+,-,+,+,-,+,-,+,-,+,-,+,+,-,+,+,-,-,-,-,-,+,-,+,+,+,+,+,+,-,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/020/045/GCF_000020045.1_genomic.fna.gz
Xenorhabdus lircayensis,GCF_016306625.1,"Xenorhabdus lircayensis VLS is a mesophilic, Gram-negative bacterium that was isolated from entomopathogen nematode Steinernema unicornium.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,-,,,,+,,,+,,,+,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,+,,-,-,+,+,-,+,-,-,-,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/016/306/625/GCF_016306625.1_genomic.fna.gz
