species,gtdb_id,family,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Pseudomonas psychrophila,GCF_001043005.1,Pseudomonadaceae,"Pseudomonas psychrophila E-3 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from coldroom for food storage.",negative,rod-shaped,yes,-,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,-,+,-,,-,-,,,-,,-,-,-,-,+,+,,-,-,,,-,-,-,-,-,,,+,-,+,+,+,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,+,-,-,-,+,+,-,+,-,-,+,+,+,+,+,+,-,+,+,+,-,-,+,-,+,-,-,+,+,-,+,+,-,+,+,+,+,+,-,-,-,+,+,+,+,+,+,+,-,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/043/005/GCF_001043005.1_genomic.fna.gz
Pseudomonas thermotolerans,GCF_000364625.1,Pseudomonadaceae,"Pseudomonas thermotolerans CM3 is an aerobe, thermophilic, Gram-negative bacterium that was isolated from cooking water of cork transformation industry.",negative,rod-shaped,yes,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,+,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,+,+,-,+,+,-,+,+,+,-,+,-,-,-,-,+,+,+,+,+,+,+,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/364/625/GCF_000364625.1_genomic.fna.gz
Enterococcus columbae,GCF_000406925.1,Enterococcaceae,"Enterococcus columbae DSM 7374 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from pigeon intestine.",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,+,"['+', '-']",+,-,-,-,"['+', '-']","['+', '-']","['+', '-']","['+', '-']",-,"['+', '-']",-,-,"['+', '-']","['+', '-']",-,"['+', '-']","['+', '-']",-,+,"['+', '-']",+,"['+', '-']","['+', '-']","['+', '-']","['+', '-']","['+', '-']","['+', '-']",+,-,"['+', '-']",+,+,-,"['+', '-']","['+', '-']",-,"['+', '-']",-,+,-,-,-,-,"['+/-', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/406/925/GCF_000406925.1_genomic.fna.gz
Pseudomonas vranovensis,GCF_000425805.1,Pseudomonadaceae,"Pseudomonas vranovensis 2B2 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from soil besides highway.",negative,rod-shaped,yes,+,+,+,+,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/425/805/GCF_000425805.1_genomic.fna.gz
Pseudomonas koreensis,GCF_024169245.1,Pseudomonadaceae,"Pseudomonas koreensis Ps 9-14 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from agricultural soil.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,-,+,-,,-,+,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,+,-,+,+,-,,,,,,,,,,,-,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,-,-,-,+,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/024/169/245/GCF_024169245.1_genomic.fna.gz
Pseudomonas pohangensis,GCF_900105995.1,Pseudomonadaceae,"Pseudomonas pohangensis H3-R18 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from sea shore sand.",negative,rod-shaped,no,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,+,-,-,+,+,-,-,+,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/105/995/GCF_900105995.1_genomic.fna.gz
Neisseria cinerea,GCF_900475315.1,Neisseriaceae,"Neisseria cinerea 194 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from Nasopharynx.",negative,coccus-shaped,no,-,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/475/315/GCF_900475315.1_genomic.fna.gz
Streptococcus thermophilus,GCF_010120595.1,Streptococcaceae,"Streptococcus thermophilus is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from pasteurized milk.",positive,coccus-shaped,no,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+/-,+/-,+/-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,+/-,+/-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/010/120/595/GCF_010120595.1_genomic.fna.gz
Neisseria perflava,GCF_023472875.1,Neisseriaceae,"Neisseria perflava CCUG 17915 is an obligate aerobe, mesophilic, Gram-negative bacterium of the family Neisseriaceae.",negative,coccus-shaped,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/023/472/875/GCF_023472875.1_genomic.fna.gz
Tetragenococcus solitarius,GCF_001544195.1,Enterococcaceae,"Tetragenococcus solitarius 885/78 is an anaerobe, mesophilic, Gram-positive bacterium that was isolated from ear exudate.",positive,coccus-shaped,no,-,+,+,-,+,-,-,-,-,-,-,+,-,-,-,+,-,-,-,"['+', '-']",-,-,-,"['+', '-']",-,-,-,-,"['+', '-']","['+', '-']","['+', '-']","['+', '-']",-,"['+', '-']",-,-,"['+', '-']","['+', '-']",-,-,+,+,+,+,+,"['+', '-']","['+', '-']","['+', '-']",-,"['+', '-']","['+', '-']",-,"['+/-', '-']","['+', '-']",+,-,-,"['+', '-']","['+', '-']",-,"['+', '-']",-,-,"['+/-', '-']",-,"['+', '-']",-,"['+/-', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/544/195/GCF_001544195.1_genomic.fna.gz
Pseudomonas lactis,GCF_001439845.1,Pseudomonadaceae,"Pseudomonas lactis WS 4992 is an aerobe, mesophilic, Gram-negative bacterium that forms circular colonies and was isolated from bovine raw milk.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,+,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,+,,-,-,-,+,-,+,+,+,-,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/439/845/GCF_001439845.1_genomic.fna.gz
Enterococcus avium,GCF_000406965.1,Enterococcaceae,"Enterococcus avium E6844 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from human faeces.",positive,coccus-shaped,no,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,"['+', '-']",-,-,+,+,-,-,+,-,+,+,+,+,"['+', '-']","['+', '-']",-,-,+,+,+,"['+', '-']",+,+,+,+,+,+,+,+,-,"['+', '-']",+,-,+,-,-,-,"['+', '-']","['+', '-']",-,"['+', '-']",+,-,-,+,+,"['+/-', '-']","['-', '+']",-,,,,,,,,,,,-,,,,,,,+,-,,,-,-,,,,,,,,,,,,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/406/965/GCF_000406965.1_genomic.fna.gz
Brochothrix thermosphacta,GCF_000620985.1,Listeriaceae,"Brochothrix thermosphacta SW 26 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from fresh pork sausage.",positive,rod-shaped,no,-,+,+,-,-,-,-,-,+,+,+,-,-,-,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/620/985/GCF_000620985.1_genomic.fna.gz
Clostridium chauvoei,GCF_002327185.1,Clostridiaceae,"Clostridium chauvoei 2585 is an anaerobe, mesophilic, Gram-positive human pathogen that was isolated from bovine blackleg.",positive,rod-shaped,no,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/327/185/GCF_002327185.1_genomic.fna.gz
Pseudomonas straminea,GCF_900112645.1,Pseudomonadaceae,"Pseudomonas straminea CB-7 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from rice paddy.",negative,rod-shaped,yes,+,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,-,,,-,,+,+,+,+,-,-,-,-,+,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,-,-,-,-,-,-,-,-,+,+,+,-,+,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,-,+,+,+,+,+,+,-,-,+,-,-,+,+,+,+,-,+,+,-,+,+,+,-,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/112/645/GCF_900112645.1_genomic.fna.gz
Klebsiella aerogenes,GCF_000215745.1,Enterobacteriaceae,"Klebsiella aerogenes NCDC 819-56 is a facultative anaerobe, mesophilic, Gram-negative human pathogen that has multiple antibiotic resistances and was isolated from sputum.",negative,rod-shaped,yes,+,+,+,-,+,+,-,+,-,+,+,-,+,-,+,+,+,-,-,+,-,,,+,,,+,,+,+,+,+,-,+,-,+,+,+,,+,+,,,+,,+,+,+,+,+,+,,-,+,,,+,+,+,-,-,,,+,-,+,+,-,,,,,,,,,,,+,,,,,,,+,-,,,+,+,,,,,,,,,,,,+,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,+,+,+,+,+,+,-,+,+,+,+,+,+,-,-,+,-,+,+,+,+,-,+,+,+,-,+,+,-,+,+,-,+,+,+,+,+,+,+,-,-,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/215/745/GCF_000215745.1_genomic.fna.gz
Staphylococcus auricularis,GCF_001500315.1,Staphylococcaceae,"Staphylococcus auricularis WK 811M is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from human external ear.",positive,coccus-shaped,no,+,+,+,-,+,-,-,+,-,+,+,-,+,-,+,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,+/-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/500/315/GCF_001500315.1_genomic.fna.gz
Pseudomonas migulae,GCF_002091715.1,Pseudomonadaceae,"Pseudomonas migulae CCUG 43165 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from mineral water.",negative,rod-shaped,yes,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,-,+,-,,-,+,,,-,,-,-,-,-,-,+,,-,-,,,-,-,-,-,-,,,+,-,+,+,-,,,,,,,,,-,-,+,-,-,-,+,-,+,+,+,-,+,+,+,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,+,-,+,+,+,-,-,+,-,-,-,+,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/091/715/GCF_002091715.1_genomic.fna.gz
Streptococcus agalactiae,GCF_000186445.1,Streptococcaceae,"Streptococcus agalactiae G 19 is a microaerophile, mesophilic, Gram-positive human pathogen that has multiple antibiotic resistances and was isolated from Milk.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,-,,,,,,,-,,,+,+,,+,,,,,,-,,,,,,,,,,,,,-,+,+,+,+,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/186/445/GCF_000186445.1_genomic.fna.gz
Evansella vedderi,GCF_030813435.1,Bacillaceae,"Evansella vedderi JaH is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from bauxite-processing waste.",positive,rod-shaped,yes,-,+,+,-,+,-,-,+,-,+,+,-,+,+,+,+,-,-,-,+/-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,+/-,+,+,+,-,+,-,-,+,+,-,-,-,+,+,-,-,+,-,-,-,-,-,-,+/-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/030/813/435/GCF_030813435.1_genomic.fna.gz
Enterococcus haemoperoxidus,GCF_000407165.1,Enterococcaceae,"Enterococcus haemoperoxidus Svec 440 is a microaerophile, spore-forming, mesophilic bacterium that was isolated from service water.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,"['+', '-']",-,-,-,"['+', '-']",-,-,-,-,"['+', '-']","['+', '-']","['+', '-']","['+', '-']",-,-,-,-,-,-,-,-,"['+', '-']",+,+,+,+,"['+', '-']","['+', '-']","['+', '-']",-,"['+', '-']","['+', '-']",-,"['+', '-']","['+/-', '-']",+,-,-,"['+', '-']",-,-,-,-,-,-,-,-,-,"['+', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/407/165/GCF_000407165.1_genomic.fna.gz
Staphylococcus gallinarum,GCF_000875895.1,Staphylococcaceae,"Staphylococcus gallinarum DSM 20610 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from skin of chicken.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,+/-,-,-,+,+/-,+/-,-,-,-,+/-,+,+,+,-,+/-,-,-,+,+,-,-,+,+/-,+,+,+,+,+,+,+/-,+,-,-,-,+/-,-,-,-,+,+/-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/875/895/GCF_000875895.1_genomic.fna.gz
Pseudomonas asiatica,GCF_009932335.1,Pseudomonadaceae,"Pseudomonas asiatica RYU-5 is an aerobe, mesophilic, Gram-negative bacterium that forms circular colonies and has multiple antibiotic resistances.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+/-,,,,+/-,,,-,,,+/-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,-,,-,-,-,+,-,+,+,+,+/-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/009/932/335/GCF_009932335.1_genomic.fna.gz
Staphylococcus simulans,GCF_002902285.1,Staphylococcaceae,"Staphylococcus simulans MK 148 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from human skin.",negative,coccus-shaped,no,-,+,+,-,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,"['+/-', '-']",-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/902/285/GCF_002902285.1_genomic.fna.gz
Pseudomonas asplenii,GCF_900105475.1,Pseudomonadaceae,"Pseudomonas asplenii 6801 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from Oriza sativa.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,-,+,-,,-,-,,,-,,-,-,-,-,-,+,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,-,-,-,-,-,-,+,-,+,+,+,-,+,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,+,-,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/105/475/GCF_900105475.1_genomic.fna.gz
Pseudomonas asplenii,GCF_900105475.1,Pseudomonadaceae,"Pseudomonas asplenii CCUG 32773 is an aerobe, mesophilic, Gram-negative plant pathogen that was isolated from bird's nest fern Asplenium nidus.",negative,rod-shaped,yes,+,+,+,+,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,-,+,-,,-,-,,,-,,-,-,-,-,-,+,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,-,-,+,-,-,-,+,-,+,+,+,-,+,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,+,-,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/105/475/GCF_900105475.1_genomic.fna.gz
Shouchella clausii,GCF_002250115.1,Bacillaceae,"Shouchella clausii PN 23 is an aerobe, spore-forming, mesophilic bacterium that was isolated from garden soil.",positive,rod-shaped,yes,+,+,+,-,-,-,-,-,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,+/-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/250/115/GCF_002250115.1_genomic.fna.gz
Pseudomonas amygdali,GCF_002699855.1,Pseudomonadaceae,"Pseudomonas amygdali AL1 is an obligate aerobe, mesophilic, Gram-negative plant pathogen that was isolated from almond, Prunus dulcis.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,+,+,+,-,-,-,-,+,+,,-,-,,,-,,-,-,-,-,+,-,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,,,+,,,,,,,+,-,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/699/855/GCF_002699855.1_genomic.fna.gz
